,comment,length,label_id
2966,به کمک این فن‌آوری، کیفیت به fullhd ۱۰۸۰p با سرعت ۷۲ فریم بر ثانیه افزایش پیدا می‌کند و شفافیت رنگ‌ها نیز بیشتر می‌شود.,26.0,positive
1185,با این چیزا نمیتونه از galaxy s iii بهتر باشه,10.0,negative
6226,اما desire v با دارا بودن پردازنده یک گیگاهرتزی، صفحه نمایش ۴ اینچی، دوربین ۵ مگاپیکسلی و نسخه ۴٫۰ سیستم عامل اندروید، امکانات متنوع و مناسبی را در قالب یک گوشی هوشمند دو سیم کارته در اختیار کاربران قرار می‌دهد.,44.0,positive
4517,با علم به اینکه iphone ۴s در زمان ورودش به بازار با کیفیت صفحه نمایش خود شگفتی همگان را بر انگیخت، می‌توانید تصور نمایید که عملکرد صفحه نمایش iphone ۵ تا چه اندازه عالیست.,36.0,positive
4444,خیلی جالبه و امکاناتشم در سطح عالیه.,8.0,positive
4631,این براق بودن بدنه، باعث شده است تا cq۵۸ تا حد زیادی مستعد جذب اثر انگشت و گرد و خاک باشد.,23.0,negative
4508,بسیار ساده‌لوحانه است اگر بخواهیم این کار اپل را یک کار کوچک فرض کنیم، چرا که در حالی که برای کم کردن ضخامت، کمپانی‌ها با مشکلات متعددی مواجه هستند، کمپانی اپل به یکباره نزدیک به دو میلی‌متر گوشی خود را باریک‌تر نموده، در حالی که تمام قابلیت‌های آن نیز نسبت به مدل پیشین ارتقا یافته است.,60.0,positive
4175,galaxy s۳ با این که سخت افزارش از این کمتره و مخصوصا صفحه نمایشش بسیار کم مصرف‌تر از این هست باتری ۲۱۰۰ma داره.,25.0,positive
8278,چه اون موقع و چه الان، جزو معدود گوشی‌های با قیمت مناسبه که واقعا کارکردش بالاست!,18.0,positive
4650,hp در سری presario cq۵۸ از پردازنده‌های رده پایین intel pentium و amd سری e استفاده کرده است که با وجود اینکه قدرت پردازشی بالایی ندارند، از عملکرد عمومی نسبتا خوبی برخوردارند.,34.0,positive
5305,در کل بی شک one x plus میتونه یه گوشیه جالب و جذابی برای کاربرا باشه.,17.0,positive
5574,اگر دنبال یک گوشی زیبا با قیمت مناسب و دو سیم هستید یکی از بهترین پشنهادات.,17.0,positive
9265,از محسنات این گوشی میشه علاوه بر موارد ذکر شده، عدم هنگ کردن موقع کار با انواع نرم افزارهاوسرعت بسیار بالای اون دونست ضمن اینکه علاوه بر دوام و ساختار محکم گوشی، ظرافت بسیار بالا و صفحه بسیار حساس آن همواره موجب خرسندی و رضایت کاربر میباشد.,50.0,positive
7072,خوبیهایی هم داره که میشه گفت سرعت خوب و رابط کاربری دلچسب.,13.0,positive
6092,اما بعد از کار با آن باید بگوییم این دوربین در سری دوربینهای کامپکت فوق العاده است.,18.0,positive
2534,جنس بدنه این تبلت با وجود اینکه پلاستیکیست، از پلاستیک براق بسیار با کیفیت ساخته شده است ولی متاسفانه اثر انگشت را به خوبی جذب کرده و نشان میدهد.,29.0,negative
5836,باطریش عالیه راحت ۳ روز با کارکرد بالا نگه میداره.,11.0,positive
576,چند سالی است که بازار دوربین‌های دیجیتال کامپکت؛ تنوع بسیار زیادی را به خود دیده است.,17.0,positive
218,تاچ پد طراحی فوق‌العاده خوبی دارد.,7.0,positive
3713,عملکرد در زوایای مختلف نیز بسیار خوب است و در زیر نور مستقیم آفتاب نیز کاملا رضایت بخش ارزیابی می‌گردد.,21.0,positive
3304,همانطور که گفتیم کیفیت دید از زاویه‌ی آن فوق‌العاده است و با چرخاندن و نگاه کردن از زوایای تندتر هم کیفیت رنگ‌ها تغییر نمی‌کند.,25.0,positive
4108,htc butterfly به معنای واقعی یک گوشی سطح بالاست و میتونه هر کاربری حتی حرفه ای‌ها رو راضی کنه.,20.0,positive
3857,سخت افزار هواوی برای تبلت خود، سخت افزاری قدرتمند را در نظر گرفته است.,15.0,positive
