,comment,label,length
2730,در قسمت پایینی تاچ پد دو کلید جداگانه قرار دارند که بسیار خوب طراحی شده‌اند.,1.0,16.0
3176,این گوشی یکی از بهتربن گوشی هاست که میتونید بخرید به نظر من اگه cpu این گوشی ۱ghz بود خیلی بهتر میشد,1.0,22.0
750,به هر حال گوشی بسیار خوبیه حتی اگه قیمتش هم بشه بالای ۴۰۰ هزار تومان باز هم ارزش خرید رو داره.,1.0,22.0
6141,یکی از راه‌های به همراه داشتن این دوربین، بستن آن به قسمت سر، به وسیله سربندی است که درست شبیه به سر بند هدلایت ولی کاملا با کیفیت قدرتمندتر می‌باشد.,1.0,33.0
6521,باتری ۷۰۰۰ میلی آمپری این تبلت می‌تواند با مصارف روزمره تا دو روز کامل شارژ دهی کند که برای یک تبلت ۱۰٫۱ اینچی با پردازنده‌ای دو هسته‌ای، میزان بسیار خوبیست.,1.0,33.0
5029,به نظر من برای کاربردهای خانگی معمولی گزینه بسیار مناسبی برای خرید محسوب میشه.,1.0,15.0
4219,ویدیوهای full hd شفافیت کیفیت خیلی زیادی دارند.,1.0,9.0
1539,ظرفیت در دسترس برای ذخیره موسیقی در آیپاد شافل، ۲gb است که ممکن است برای بعضی کاربران ظرفیت کمی باشد.,0.0,22.0
4651,کلی هم برنامه دارم.,1.0,5.0
1530,با فن‌آوری ابری می‌توانید در مواقعی که خانه نیستید نیز بیشترین بهره را از فایل‌ها محتواهای خویش ببرید.,1.0,19.0
6842,همین‌طور حدود برابر سریع‌تر از galaxy iii one,1.0,8.0
1352,در اطراف صفحه نمایش به اندازه کافی قاب وجود دارد که در هنگام نگه داشتن تبلت در دست، به طور اتفاقی لمسی با صفحه نمایش صورت نگیرد که این مورد نیز در هنگام کار با آن، راحتی بیشتری را ایجاد می‌نماید.,1.0,44.0
761,کانن در این دوربین از سنسور تصویر جدیدی استفاده کرده است.,1.0,11.0
2324,از نظر من پردازنده‌های arm اپل هر چند که دوهسته هستن ولی از پردازنده‌های چهار هسته‌ای samsung lg htc قوی تره البته باید دید قیمت این گوشی چقدر تعیین میشه,1.0,30.0
2078,اما کمینه‌ی نسبت کانونی آن در حالت واید زوم، f/۳٫۵-۵٫۶ می‌باشد که عالی نیست ولی خوب است تا در عکاسی شرایط نوری ضعیف هم مشکل زیادی نداشته باشید.,1.0,29.0
5343,این تبلت فوق‌العاده زیبا خوش‌ساخته بسیار خیره‌کننده باریک من بی‌صبرانه منتظرم تا موجود بشه این تبلت دوست‌داشتنی رو زود‌تر مال خودم کنم مرسی از دیجی کالا,1.0,26.0
3381,بدین ترتیب قابلیت‌های عکاسی در شب w۶۳۰ بهتر از w۶۷۰ است.,1.0,14.0
1630,در ضمن، یک حسگر نور سنجی برای تنظیم نور صفحه نمایش بنابر شرایط محیط نیز وجود دارد که بصورت اتوماتیک نور دهی صفحه نمایش را کم یا زیاد می‌نماید.,1.0,31.0
5470,دوربینش خوب نیست، میشه گفت از دوربین نوکیا هم ضعیفتره، تنظیمات gprs این گوشی هم در سایت همراه اول نیست.,0.0,23.0
5711,یک ماهه این تبلت رو خریدم میشه گفت هیچ کاری رو بی پاسخ نمی‌ذاره بنده شغلم با اینترنت هستش دانشجوی کامپیوترم این تبلت تمام کارهای مرتبط با کامپیوتر مخصوصا اینترنت رو برام انجام میده,1.0,34.0
3127,من هیچ ایرادی ندیدم تو این گوشی.,1.0,8.0
2973,به جز حافظه کمش عدم پشتیبانی از کارت حافظه واقعا هر چی نگاه میکنم نمیتونم هیچ عیبی ازش بگیرم، واقعا فوق العادست,1.0,23.0
4092,انصافا توی هیچ چیزی کمبود نداره.,1.0,7.0
4526,با این تبلت بسیار لذت خواهند برد از داشتنش پشیمون نخواهند شد.,1.0,11.0
267,فقدان دکمه‌های فیزیکی چون کم زیاد کردن صدا، pause playback رفتن به جلو عقب احساس می‌شود.,0.0,18.0
5815,به نظر می‌رسد که طراحان زمان بیشتری را برای طراحی بدنه این اسکنر صرف کرده‌اند تا ظاهری حرفه‌ای داشته باشد.,1.0,20.0
5139,کیفیت فیلم برداری: عالی کیفیت عکس برداری: خیلی ضعیف (در حدی کمتر از دوربین‌های ۳٫۲ مگا پیکسلی) کارایی باتری: مثل اکثر مدلهای اکسپریا ضعیف ابعاد صفحه نمایش: به خاطر صفحه نمایش کوچک در نتیجه صفحه کلید کوچک باید کلا قید نوشتن پیامک به زبان فارسی را بزنید.,0.0,54.0
2137,اگر قصد خرید هارد اکسترنال دارید وسترن دیجیتال در مرحله بعد سیگیت بهترین گزینه هستند,1.0,15.0
