,comment,length,label_id
3155,فکر کنم الان ارزش خرید رو داشته باشه قیمتش مناسب‌تر شده باتشکر از دیجی کالا,15.0,3
501,کانن بر روی این دوربین از سنسوری هیبریدی استفاده کرده که از آن با نام نسخه سنسورهای تصویر هیبریدی نام برده شده است.,22.0,2
1675,پس از پر شدن ظرفیت حافظه‌ی داخلی می‌توانید بر روی کارت حافظه‌ی sd/sdhc/sdxc فیلم برداری را ادامه دهید.,19.0,2
1630,یه همچین گوشی حداقل به یه cpu ۸۰۰ mh نیاز داره.,12.0,2
4273,این گوشی در رنگ‌های بسیار متنوعی طراحی شده در جعبه‌ی آن دو قاب رنگی قابل تعویض هم وجود دارند تا به راحتی بر این تنوع بیفزایید.,27.0,4
838,دکمه‌ی پاور یا همان دکمه‌ی روشن خاموش به قسمت پشتی دوربین انتقال یافته است.,14.0,2
6626,عکاسی سه بعدی هم نمی‌توانید بکنید.,7.0,1
5099,عملکرد lcd لمسی هم بسیار خوب هست.,8.0,4
727,در دست احساس خوبی را به شما می‌دهد، البته احتمالا کمی زمان می‌برد به آن عادت کنید چرا که برخلاف گوشی ۳g ۳gs پشت آن خمیده نیست.,29.0,2
939,این واقعیتی است که اپل آن را در مراسم معرفی iphone اعلام کرد.,14.0,2
414,سرعت چاپ در حالت سیاه سفید در حدود ۸٫۷ صفحه در دقیقه برای حالت رنگی صفحه در دقیقه می‌باشد.,20.0,2
1264,تایم لپس نیز همچنان موجود می‌باشد.,7.0,2
3661,کیفیت چاپش خوبه.,4.0,3
3938,جمع بندی صفحه نمایش با کیفیت، شفاف روشن infinity آن را به یک جانشین عالی برای transformer prime تبدیل کرده است.,22.0,4
4310,در نقد بررسی hx۱۰۰v اشاره کرده بودیم که کیفیت عکس‌های گرفته شده فوق‌العاده هستند.,16.0,4
273,همان طور که میدانید اسکنرها از ابتدا تا کنون نه فقط در حوزه فنی بلکه در ابعاد اندازه نیز تغییرات فراوانی داشته‌اند.,23.0,2
2280,دوربینی مناسب کار‌های معمولی است,5.0,3
5511,با سلام من تجربه استفاده از خیلی گوشی‌های سونی اریکسون سونی رو تا به الان داشتم این گوشی رو به تازگی خریدم به جرات میگم بهترین گوشی sony تا به الان این گوشی هست.,35.0,4
5328,سرعت فوکوس خودکار آن نیز چه در مود live view هنگام فیلم برداری چه غیر از آن فوق العاده مثال زدنی است.,23.0,4
1880,گوشی دوسیم کارتی اچ تی سی با اندروید۴.,9.0,2
1948,اما همانطور که گفتیم، در قسمت بالای این دوربین یک پیچ تنظیم مشاهده می‌شود.,16.0,2
6666,مثلا در ایفون نمیشه هر لحظه مثل سیستم عامل اندروید نرم افزار اضافه نمود حتما باید به کامپیوتر وصل بشه ویک سری محدودیتهای دیگر مثل انتن ندادن ایفون در بعضی از مکانها که شامل سونی اریکسون نوکیا نمیشه در کل ایفون یعنی بازی ای پد بهتر از خرید ایفون هست.,51.0,1
444,اما تفاوت اصلی این گوشی با مدل xperia در اندازه آن‌هاست که به علت تفاوت سایز صفحه نمایش، بوجود آمده است.,22.0,2
2192,در قسمت زیرین دستگاه دو بلندگوی استریو قرار دارند که کیفیت مناسبی دارند از رقبای هم قیمت g۵۸۵، بهتر می‌باشند.,23.0,3
6257,این آنتن بهتر بود که به صورت داخلی ساخته می‌شد.,10.0,1
4149,خیلی قویه..,4.0,4
1632,در ضمن در سمت راست کیبورد g۵۸۵، بخش عددی جداگانه یا numpad نیز قرار دارد.,18.0,2
1786,چون دراثراستفاده ناصحیح پین‌های mini usb خود کابل دچارمشکل میشه باعث قطع وصل مکرر آسیب هارد میشه مجبوریم کابل دیگه‌ای تهیه کنیم.,23.0,2
1407,همچنین میانبر قابل تغییر نیز وجود دارند که می‌توان آن‌ها را به هر برنامه‌ای تخصیص داد.,17.0,2
3219,اونم گوشی که مشابه سخت افزار شو میشه تویه گوشی‌های دیگه پیدا کرد حتی بالاتر,15.0,3
987,من عاشق دیجی کالا هستم هر روز واردش میشم.,10.0,2
1336,نمیدونم چرا باتریش جزو نقاط ضعفش اومده.,8.0,2
3351,در مجموع می‌توانیم بگوییم که سامسونگ از صفحات نمایشی فراتر از انتظار ما از یک لپ ‌تاپ ارزان قیمت، در ساخت سری استفاده کرده است.,26.0,3
