,comment,label_id,comment_len_by_words
11800,نهایتا بر روی قاب پشت گوش نیز دوربین بلندگو به چشم خورد#خور که همراه با یک لوگوی Xperia به زیبایی گوش افزود#افزا,1,22.0
14380,یه کم از گوش براتون میگ,0,6.0
8599,من همه چیز چک کرد#کن خیلی خوبه گرافیکشم خوبه بازی رو راحت روان میاره,2,14.0
11261,این امر برای HP قابلیت باریک سبک Sleekbook‌ها از طریق کوچک کردن سیستم خنک کننده باتری دستگاه فراهم کرد#کن,0,19.0
20,کیفیت پرینت در هر دو رزولوشنی که گفت#گو خیلی خوب #است رنگ مشک کاملا مشخص غلیظ بود#باش,2,17.0
2394,نو بوک‌ها تبلت‌های ایسوس به داشتن بلندگو با کیفیت قدرتمند شهرت داشت#دار PadFone نیز از این قاعده مستثنی نیست,0,19.0
11916,به نظر من با این پول میشه که گوش سون اریکسون Live with walkman یا Xperia mini خرید که واقعا گوشیهای کم ایرادتری محسوب میشن,0,25.0
11028,من این گوش رو یک هفته پیش خرید#خر از همه نظر عالیه,2,12.0
9685,یک از مزایا که ال‌جی برای رابط کاربر آن در نظر گرفت#گیر نوار Notification قابل جابجایی تغییر آن #است که بر روی گوشی‌های دیگر با این انعطاف پذیرفت#پذیر وجود داشت#دار,1,30.0
14308,ما این گوش را در خیابان شلوغ تست کرد#کن میکروفون کاهش نویز واقعا کار عالی بود#باش,2,16.0
5774,علیرغم تمام توانایی خیلی خوب این گوش که واقعا حرف نداره از بکارگیری اون لذت تمام برد#بر اما متأسفانه ۱- محل بلندگو بسیار بد انتخاب شده یعنی در پشت گوش که باعث شد#شو زمانیکه گوش را در دست گرفت#گیر احتمال اینکه کف دست جلو بلندگو را گرفت#گیر زیاد شده گاها صدا بلندگو به اصطلاح توسط کف دست خفه شد#شو,-1,59.0
10547,هرچی هم بگین گلگسی بقیه گوشی‌ها بهترن باخت#باز هیچ به لذت باز کردن قفل اپل نمیرسه,2,16.0
10002,البته بیشینه ISO به افزایش یافته تا احتمالا این دوربین برای عکاس در شرایط نوری ضعیف مناسب بود#باش,1,18.0
13353,این گوش از رابط کاربر سون اریکسون TimeScape بهره برد#بر که اخیرا ویژگی ویجت‌های بسیار جذاب خوبی به آن اضافه شد#شو,1,21.0
4519,۳-در قسمت تنظیمات میتوانید میزان مصرف خود از اینترنت را کنترل کرده یک سقف محدودیت برای آن قرار داد#ده,0,19.0
8894,Sony دارا صفحه نمایش فوق العاده ۹٫۴ اینچ با تکنولوژی True Black موتور BRAVIA #است که رنگ بی نظیر را تولید میکند,2,22.0
9031,۳- دکمه تاچ پایین صفحه نمایش چراغ نداره روشن نمیشه,-1,10.0
550,کیفیت ساخت همانند مدل‌های سال گذشته خانواده ProBook بسیار بالا بوده بدنه با ضربات وارد شده طی مصارف روزانه دچار خم یا پیچش شد#شو,2,24.0
759,علاوه بر دوربین بلندگو گوش لوگوی Beats Audio نیز در این قسمت قابل مشاهده #هست,0,15.0
5460,جمع بست#بند مزایا ۱- LCD بسیار جذاب کاملا متفاوت اینچ کیفیت دوربین بسیار عالی در شرایط نور طبیعی ۳- زیبایی ساخت فوق‌العاده ۴- سخت‌افزار بسیار عالی ۵- قیمت بسیار مناسب در مقایسه با رقبا معایب ۱- نداشتن شیار مخصوص قلم که یک ضعف بسیار بزرگه ۲- نداشتن کلید میانبر سیستم عامل جهت استفاده قلم برای کلید Back Home غیره,0,59.0
682,خوبه اما متاسفانه خرابی‌های هاردش زیاده,-1,6.0
11603,وقت شما دو انگشت خود را به صورت همزمان بر روی نمایشگر گذاشت#گذار منوی تنظیمات حساسیت دیگر ویژگی آن ظاهر شد#شو,0,21.0
1891,اگه iphone ۴s گرفت#گیر زیاد فرق نداره میتونید اپدیتش کرد#کن,0,10.0
5268,کار کردن با این تبلت احساس خوشایند داشت#دار,1,8.0
8224,این بلندگو به تکنولوژی SRS Premium Sound PRO مجهز بوده کیفیت صدا رضایت بخشی را ارائه داد#ده,1,17.0
11071,این جدید نسخه سیستم عامل اپل بود#باش که البته در پایه اساس با نسخه پیشین تفاوت چندان کرد#کن,0,18.0
1649,پردازنده که طبق گفته این کمپانی دو برابر از پردازنده آیفون ۴S سریع #است,1,14.0
12581,موس کیبورد هم وایرلس هم سیمی میشه به وصل کرد#کن,1,10.0
5743,ظاهر هم به نظر من از SIII بهتره,1,8.0
11164,این حافظه RAM جزو بالا مقادیر #است که تا کنون بر روی یک گوش هوشمند قرار گرفته پردازشگر گرافیکی هم توان تولید قدرت فراوان داشت#دار,1,25.0
9103,این در حالیست که فیلم بردار HD با سرعت فوق العاده‌ی فر بر ثانیه انجام گرفت#گیر بدین ترتیب توانست#توان از لحظات ورزش خود فیلم HD اسلوموشن هم داشت#دار,2,28.0
8478,اما ایسوس کاملا فراتر از انتظار ما عمل کرد#کن قاب پشت این تبلت را فلز در نظر گرفت#گیر,2,18.0
10314,در ابتدا بابت این باتری کاملا نا امید شد#شو اما بعد از تست‌های انجام شده شاهد بود#باش که این تبلت قادر بود#باش تا ساعت ممتد ویدئو پخش نمود#نما که برای تبلت‌های اینچ کاملا نرمال #است,1,35.0
8396,صفحش رتینا نیست رم هم #هست که اونم اپل برای محصول بعد گذاشته که جای مانور داشته باشه,0,18.0
7897,حافظه RAM سری E۱- نیز در کانفیگ‌های مختلف بین تا گیگابایت متغیر #است,0,13.0
5942,در کل باید گفت#گو که HP LaserJet به عنوان یک پرینتر لیزر تک رنگ سطح مبتدی عملکرد ویژگی خیلی خوبی را ارایه داد#ده,2,23.0
5992,کیفیت کار این پرینتر عالیست,2,5.0
6377,من تهیه کرد#کن هم کوچک هم زیبا,1,7.0
2891,البته ASUS وعده داد#ده که این تبلت به زود به اندروید ۴٫۱ یا Jelly Bean آپدیت شد#شو,0,17.0
13501,البته برای کسانی که استفاده عادی میکنن در حد متوسط رو به بالا هستش,1,14.0
7643,سطح آستانه عملکرد کلید کاملا عادی استاندارد #است,0,8.0
2826,سخت افزار گوش True HD یک از بر سخت افزار در بین گوشی‌های هسته‌ای به شمار رفت#رو,2,17.0
9245,تو یک جمله فقط می‌تونم بگم که فوق‌العادست از همه لحاظ,2,11.0
13094,واقعا حیف که دوربین نداره ولی نسبت به قیم خیلی خوبه,1,11.0
4763,بهتون پیشنهاد میکنم که حتما خرید#خر,0,6.0
14878,البته مانند سایر گوشی‌های ۳٫۳ اینچ تایپ کردن با این گوش به خصوص در حالت عمود نیاز به کم تمرین داشت#دار ولی هنگامی که گوش را به حالت افق برد#بر تایپ کردن بسیار راحت لذت بخش شد#شو,1,37.0
10636,ولی به نظر من آیفون با اون صفحه نمایش ۳٫۵ اینچ خیلی زیبا خوش دست بود#باش شرکت اپل بعد از مرگ استیو جابز کم کم داره پسرفت میکنه محصولاتشو با همون طراح قبل فقط با تغییر اندازه صفحه نمایش تغییرات جزئی ارائه میکنه دیگه مثل قبل از طراح محصولات متحیر نم,-1,51.0
11057,هرچند که اپل از گفتن این موضوع امتناء کرده ولی این پردازنده بر روی iPhone ۴s با سرعت ساعت مگاهرتز کار کرد#کن این در حال #است که سرعت ساعت آن بر روی iPad همان گیگاهرتز بود#باش,0,36.0
10233,عمده پیشرفت را توانست#توان در به کار گرفت#گیر سنسور تصویر هیبرید نمایشگر لمس سیستم جدید شاتر دانست#دان,1,17.0
1670,این کانکتور کاملا دیجیتالی بوده طوری طراح گردیده که از هر دو طرف قابل اتصال #است,0,16.0
12911,صدا مکالمه اسپیکر هم عالیه,2,5.0
11709,فراموش کرد#کن گفت#گو که همانند بسیار از دوربین Bridge دیگر سنسور تصویر CCD این دوربین هم در ابعاد ۱/۲ ٫۳ اینچ بود#باش سنسور تصویر کوچکیست که معمولا بر روی دوربین کامپکت هم استفاده گشت#گرد,0,34.0
6333,ممنون از سایت خوبتون,1,4.0
2503,من که داشت#دار همه چیز عالیه فقط باتریش خیلی قوی نیست معمولیه,1,12.0
3356,پس می‌توان این‌طور پیش بینی کرد#کن که با استفاده معمولی از این گوش به راحت توانست#توان با هر مرتبه شارژ کردن آن بیش از یک روز از آن استفاده نمود#نما,1,30.0
11121,فیلم‌برداری هم مثل عکاس کیفیت کاملا عالی داشت#دار,2,8.0
11389,دوستان من این گوشیو ماهه خرید#خر هیچ کمبود از دید#بین,-1,10.0
1033,از دیگر ویژگی نیز می‌توان به توانایی فوکوس ماکرو از فاصله سانتی متر نمایشگر ۲٫۷ اینچ با رزولوشن پیکسل گستره حساسیت سنسور یا ایزو از تا اشاره کرد#کن,0,28.0
3184,مدت زمان استفاده از تبلت اگه نور صفحه کامل روشن باشه بین تا ساعته در حالت ذخیره انرژی بین تا ساعت شارژ نگه میداره,0,24.0
10353,فقط طراح کم قدیمیه,-1,4.0
5323,این یک امکان فوق‌العاده #است که ال جی به کاربر Optimus VU هدیه داد#ده,2,14.0
5638,چنین سخت‌افزار باعث شده که ذره مکث تأخیر در عملکرد گوش دید#بین,1,12.0
12368,از نظر ویدیو موزیک هم عالیه,2,6.0
3359,مشخصات سخت افزار مناسب در کنار سیستم عامل ویندوز این گوش را به یک گوش مناسب برای طرفدار گوشی‌های ویندوز تبدیل نمود#نما,1,22.0
11833,باتریانرژی مورد نیاز برای این دستگاه توسط یک باتری لیتیوم یونی تامین شد#شو که دارا ظرفیت میلی آمپر #است,0,19.0
13123,کیفیت فیلمبرداری عکس بردار خیلی خوبه,2,6.0
807,مگا پیکسل خوبه گذاشته دو سیمکارته عالیه ۴٫۳ عالیه برای صفحه,2,11.0
1598,بسیار ساده‌لوحانه #است اگر خواست#خواه این کار اپل را یک کار کوچک فرض کرد#کن چرا که در حال که برای کم کردن ضخامت کمپانی‌ها با مشکلات متعدد مواجه #هست کمپانی اپل به یکباره نزدیک به دو میلی‌متر گوش خود را باریک نموده در حال که تمام قابلیت آن نیز نسبت به مدل پیشین ارتقا یافت#یاب,1,55.0
2475,بدین ترتیب که اگر در حال تایپ کردن در یک وسیله نقلیه بود#باش ممکن #است در اثر تکان قسمت پایین کف دست شما مرتبا به تاچ پد برخورد کند عمل کلیک انجام شد#شو,0,33.0
8645,شما توانست#توان از مدل‌هایی بین حافظه رم تا گیگابایت انتخاب کرد#کن,0,11.0
9347,کیفیت سه بعد واقعا عالیه به هیچ وجه پرش یا مات تصویر نداره,2,13.0
8514,وجود پروژه کره بر روی اندروید ۴٫۱ باعث گردیده که این نسخه از اندروید نسبت به نسخه پیشین به مراتب روان بود#باش,2,22.0
671,البته وبکمش واقعا HD نیست,-1,5.0
10411,یعنی گوش داشت#دار که دوربین مگاپیکسله,1,6.0
3719,تفاوت قیمتشون فقط هزار تومانه,0,5.0
12611,تجربه چندرسانه‌ای کامل در منزلتلویزیون سامسونگ با ورودی‌های واسط چندرسانه‌ای وضوح بالا HDMI نشیمن خانه شما را به یک مرکز سرگرمی‌های چندرسانه‌ای تبدیل کرد#کن,1,24.0
702,کیفیت دسکتاپ چنگ به دل نمیزنه,-1,6.0
6977,ولی واقعا سنس یه چیزه دیگست,0,6.0
9940,در زیر پیچ تنظیم توانست#توان دکمه شروع ضبط ویدیو که با رنگ قرمز مشخص شد#شو را یافت#یاب,0,17.0
4745,ولی واقعا از ps۳ خیلی جلو زده,1,7.0
2737,یک تبلت اینچ با کیفیت ساخت فوق‌العاده خوب گیگابایت حافظه داخل سخت افزار بسیار قدرتمند دوربین جلو پشت با کیفیت البته استاندارد مقاومت در برابر آب ضربه مسلما تبلت ارزشمند محسوب گشت#گرد,2,32.0
12831,در مود Quick برای لحظه Live view قطع شد#شو اینه بالا رفت#رو نور به سنسورهای اصل AF برخورد کرد#کن سپس دوباره اینه پایین آمد#آ,0,24.0
3210,در این لپ‌تاپ از پلاستیک براق که معمولا در ساخت لپ‌تاپ ارزان قیمت استفاده شد#شو خبر نیست,0,17.0
4355,به کمک این سخت افزار قدرمند محیط کاربر بسیار روان #است هیچگونه کاهش سرعت یا به اصطلاح Lagی در آن مشاهده کرد#کن,2,22.0
5248,حالا در کنار مشخصات بینظیرش همچون پردازنده خوب* نمایشگر خوب* پشتیبان واقعی* باتری خوب* طراح عالی* وزن معقول* سایز اینچ به نظر بهترین سایز برای تبلت قیمت فوق العاده البته تو ایران میشه سرسام آور به نوع میشه گفت#گو کلکسیون امکانات این تبلت کامل شد#شو گرچه اگه امکان استفاده از MicroSD دوربین پشت دستگاه فراهم میشد دیگه جای هیچ بحث بود#باش اما تا همین جا هم واقعا عالی شد#شو,2,69.0
13338,نزدیک دوماه میشه این گوشیرو خرید#خر واقعیت بنظر ما این گوش نسبت به امکانات مثل صفحه نمایش بسیار شفاف تاچ خیلی عالیش فیلمبرداری اچ دی سیستم عامل اندروید بسیار حرفه ایش شکل شمایل خوب جمع وجور بودن باید بالا هزارتو میشد من بعنوان یک شخص واقعا علاقمند به گوش اینو به همه پیشنهاد میکنم,2,54.0
9233,Sense ۴٫۰ نسبت به نسخه پیشین بسیار ساده ولی در عین حال کاربردی‌تر شد#شو,1,14.0
131,به نظر از همشون بهتر همون هستش,0,7.0
9607,۳- با نصب نرم افزار MX Player روی این گوش میتوان فیلم HD را بصورت روان فیملهای Full HD را با کم گیر پخش کرد#کن,1,25.0
13491,زیاد باریک باریک نیست ولی ٫۴ مناسب این گوش #هست تو دست خوش دست به نظر می‌رسه,1,17.0
7092,همون چیزیه که میخواستم,1,4.0
6981,یک از بهترین صفحه نمایش هایی که از نظر غلظت رنگ رزولوشن داره,1,13.0
2389,داک تبلت نیز دارا صفحه نمایش ٫۱ اینچ با پنل IPS LCD دقت #است,0,14.0
10997,با این قیمت میشه LG L۳ خرید که حداقل اندرویده,0,10.0
5113,از نظر پورت‌ها اتصالات SM در سطح متوسط #است تنها پور خیلی عالی غیر منتظره که بر روی آن دید#بین پور USB ۳٫۰ #است,1,24.0
9656,لبه این گوش کاملا گرد بود#باش که با لبه مستطیل مدل قبل کاملا در تناقض #است,0,16.0
4019,من زوم دوربین canon sx canon sx رو دید#بین خدا یه سر گردن با پردازش که حین زوم داره بالا از این دوتاست,1,23.0
12162,تکرار کرد#کن که اگر سنسور تصویر به این کوچک بود#باش دوربین را در رده کامپکت‌های سطح پیشرفته قرار داد#ده,0,19.0
3632,دوربین فیلم‌برداری GZ-MG از دیگر مدل‌های JVC #است که کیفیت تصویر بسیار خوبی داشت#دار,2,14.0
5757,من ماهه که مدل این گوش رو داشت#دار با مدل هم کار کرد#کن برخلاف نظرات برخی کاربر هیچگونه عملکرد ضعیف‌تری رو نسبت به حس کرد#کن باید این رو هم بگم که مدل جی کمتر داغ میکنه شارژ باتری رو بهتر مصرف میکنه در کل بهینه کار میکنه,0,47.0
14019,با این قیمت یه دوربین از برد#بر sony اونم Full HD سرعت فر بر ثانیه واقعا عالیه,2,17.0
10151,وجود نمایشگر لمس باید در صورت باشه که پاسخ گفت#گو به اشارات لمس به سرعت انجام گرفت#گیر الا بیشتر اعصاب خورد#خور کن بود#باش تا کار راه انداز,0,27.0
8165,Quad-Core۱٫۵+۲ RAM میدونی با اینا میشه چی کار کرد#کن,0,9.0
5527,هم تصویر خوب واضح داره هم سرعت جلو عقب کردن خوبه مکث نمیکنه,1,13.0
8024,این ابعاد بسیار نزدیک به ابعاد گوش موفق گلکسی اس بود#باش که نسبت به گلکسی اس حدود ۱٫۵ سانتیمتر در طول میلی متر در عرض کوچک شده همچنین وزن گرم آن نیز نسبت به گلکسی اس حدودا گرم سبک شد#شو,0,40.0
4483,می‌توان گوش اکسپریا ری را کوچک موبایل بزرگ از لحاظ امکانات نامید#نام,0,12.0
10123,مخصوصا اگه مثل من قبل لنزی داشت#دار,0,7.0
8802,سلام من سال پیش دوربین NIKON از دی جی کالا خرید#خر دقیقا همین مشخصات رو داره البته با زوم برابر اپتیکال,0,21.0
4976,خیر تمام کنسول به زبان انگلیسی ارایه شد#شو هر کدام بسته به نوع ریجن آ‌ن‌ها زبان دیگر را نیز پشتیبان کرد#کن,0,21.0
14060,اما کمینه نسبت کانون که توسط این لنز ارایه گشت#گرد f/۲٫۶ بود#باش که برای عکاس در شرایط ضعیف نوری عالیست,1,20.0
7124,صفحه نمایشاما رسید#رس به مهم بخش نقد بررسی در مورد این گوش یعنی صفحه نمایش آن که باعث گردیده این گوش را از دیگر گوشی‌ها متمایز نمود#نما,1,27.0
13965,اگر از نوع آلکالاین معمولی آن استفاده کرد#کن با دو جفت نو آن توانست#توان تا حدود عکس گرفت#گیر تا باتری تمام شد#شو,0,22.0
950,آن را هم خیلی دوست داشت#دار,0,6.0
7687,بجز این هیچ mp۳ player ای نخرین چون اپل بهترینه,2,10.0
9635,۳-باتری بسیار پر ظرفیت میلی آمپر که برای این گوش با این قیمت به نظر من بسیار ارزنده #هست,1,19.0
7929,مرورگر اینترنت نیز در این گوش با سرعت بالا انجام پذیرفت#پذیر,1,11.0
3579,مخصوصا که این تبلت ویندوز که همانند یک لپ تاپ کارایی‌های متنوع داشت#دار اولین محصول در این نوع #است,1,19.0
301,در کل حس مثبت خوبی به داشت#دار,1,7.0
8709,واسه همین خیلی گرونه cd هاش,-1,6.0
6076,اول به لنز دستگاه شک کرد#کن ولی مشکل از لنز بود#باش کم کم متوجه شد#شو که دستگاه حتی بازی اصل رو هم نمیخونه,-1,23.0
1648,اما به نظر رسید#رس کمپانی اپل پردازنده جدید خود را مخصوص آیفون طراح تولید نمود#نما,0,15.0
9756,در کل این دوربین را به افراد که به فیلم بردار جدی فیلم سازی آماتوری علاقه داشت#دار پیشنهاد کرد#کن,1,19.0
